やすむ|休む
はたらく|働く
ねる|寝る
みる|見る
きく|聞く
よむ|読む
かく|書く
のむ|飲む
かう|買う
うる|売る
すう|吸う
きる|切る
しぬ|死ぬ
けす|消す
あらう|洗う
とる|撮る
つくる|作る
ならう|習う
およぐ|泳ぐ
あそぶ|遊ぶ
つかう|使う
うたう|歌う
はじまる|始まる
おわる|終わる
いく|行く
かえる|帰る
くる|来る
とおる|通る
わたる|渡る
あるく|歩く
まがる|曲がる
はいる|入る
のる|乗る
すわる|座る
あう|会う
おくる|送る
だす|出す
とどく|届く
かす|貸す
まつ|待つ
えらぶ|選ぶ
もす|申す
とる|とる
ふとる|太る
わかる|分かる
まよう|迷う
いそぐ|急ぐ
できる|できる
さく|咲く
とぶ|飛ぶ
おしえる|教える
しめる|閉める
たべる|食べる
かりる|借りる
おきる|起きる
つかる|疲る
でる|でる
でかける|出掛ける
あける|開ける
すぎる|過る
みせる|見せる
おりる|降りる
つたえる|伝える
とめる|止める
はなす|話す
さんぽする|散歩する
そうじする|掃除する
べんきょする|勉強する
かいものする|買い物する
そつぎょする|卒業する
しょくじする|食事する
せいりする|整理する
おろする|下ろする
